Number,Year,Month,Day,Hour,Minute,Temp,Salinity
582,2019,6,9,14,55,8.161,35.0669
583,2019,6,9,15,0,8.158,35.0689
584,2019,6,9,15,5,8.156,35.0689
585,2019,6,9,15,10,8.156,35.0669
586,2019,6,9,15,15,8.158,35.0649
587,2019,6,9,15,20,8.159,35.0639
588,2019,6,9,15,25,8.16,35.0659
589,2019,6,9,15,30,8.16,35.0619
590,2019,6,9,15,35,8.161,35.0619
591,2019,6,9,15,40,8.161,35.0629
592,2019,6,9,15,45,8.156,35.0669
593,2019,6,9,15,50,8.156,35.0679
594,2019,6,9,15,55,8.157,35.0669
595,2019,6,9,16,0,8.159,35.0649
596,2019,6,9,16,5,8.158,35.0619
597,2019,6,9,16,10,8.159,35.0619
598,2019,6,9,16,15,8.159,35.0639
599,2019,6,9,16,20,8.161,35.0629
600,2019,6,9,16,25,8.162,35.0629
601,2019,6,9,16,30,8.163,35.0639
602,2019,6,9,16,35,8.162,35.0659
603,2019,6,9,16,40,8.158,35.0689
604,2019,6,9,16,45,8.159,35.0669
605,2019,6,9,16,50,8.162,35.0659
606,2019,6,9,16,55,8.164,35.0639
607,2019,6,9,17,0,8.163,35.0639
608,2019,6,9,17,5,8.163,35.0659
609,2019,6,9,17,10,8.162,35.0669
610,2019,6,9,17,15,8.162,35.0679
611,2019,6,9,17,20,8.162,35.0689
612,2019,6,9,17,25,8.16,35.0699
613,2019,6,9,17,30,8.159,35.0709
614,2019,6,9,17,35,8.162,35.0709
615,2019,6,9,17,40,8.163,35.0699
616,2019,6,9,17,45,8.164,35.0699
617,2019,6,9,17,50,8.164,35.0699
618,2019,6,9,17,55,8.164,35.0689
619,2019,6,9,18,0,8.162,35.0689
620,2019,6,9,18,5,8.16,35.0699
621,2019,6,9,18,10,8.16,35.0689
622,2019,6,9,18,15,8.159,35.0699
623,2019,6,9,18,20,8.157,35.0709
624,2019,6,9,18,25,8.159,35.0699
625,2019,6,9,18,30,8.159,35.0699
626,2019,6,9,18,35,8.16,35.0689
627,2019,6,9,18,40,8.161,35.0699
628,2019,6,9,18,45,8.161,35.0709
629,2019,6,9,18,50,8.162,35.0689
630,2019,6,9,18,55,8.161,35.0699
631,2019,6,9,19,0,8.16,35.0699
